ehead,ctryname,cowcode2,politycode,un_region_name,un_continent_name,leaderspellreg,democracy,regime,start_year,end_year,duration,observed
Ramiz Alia,Albania,339,339.0,Southern Europe,Europe,Ramiz Alia.Albania.1991.1991.Parliamentary Dem,Democracy,Parliamentary Dem,1991,1991,1,1
Aleksander Meksi,Albania,339,339.0,Southern Europe,Europe,Aleksander Meksi.Albania.1992.1996.Parliamentary Dem,Democracy,Parliamentary Dem,1992,1996,5,1
Fatos Nano,Albania,339,339.0,Southern Europe,Europe,Fatos Nano.Albania.1997.1997.Parliamentary Dem,Democracy,Parliamentary Dem,1997,1997,1,1
Pandeli Majko,Albania,339,339.0,Southern Europe,Europe,Pandeli Majko.Albania.1998.1998.Parliamentary Dem,Democracy,Parliamentary Dem,1998,1998,1,1
Ilir Meta,Albania,339,339.0,Southern Europe,Europe,Ilir Meta.Albania.1999.2001.Parliamentary Dem,Democracy,Parliamentary Dem,1999,2001,3,1
Fatos Nano,Albania,339,339.0,Southern Europe,Europe,Fatos Nano.Albania.2002.2004.Parliamentary Dem,Democracy,Parliamentary Dem,2002,2004,3,1
Sali Berisha,Albania,339,339.0,Southern Europe,Europe,Sali Berisha.Albania.2005.2008.Parliamentary Dem,Democracy,Parliamentary Dem,2005,2008,4,0
Ahmed Ben Bella,Algeria,615,615.0,Northern Africa,Africa,Ahmed Ben Bella.Algeria.1962.1964.Civilian Dict,Non-democracy,Civilian Dict,1962,1964,3,1
Houari Boumedienne,Algeria,615,615.0,Northern Africa,Africa,Houari Boumedienne.Algeria.1965.1977.Military Dict,Non-democracy,Military Dict,1965,1977,13,0
military,Algeria,615,615.0,Northern Africa,Africa,military.Algeria.1978.1978.Military Dict,Non-democracy,Military Dict,1978,1978,1,1
Benjedid Chadli,Algeria,615,615.0,Northern Africa,Africa,Benjedid Chadli.Algeria.1979.1991.Military Dict,Non-democracy,Military Dict,1979,1991,13,1
military High Security Council,Algeria,615,615.0,Northern Africa,Africa,military High Security Council.Algeria.1992.1993.Military Dict,Non-democracy,Military Dict,1992,1993,2,1
Liamine Zeroual,Algeria,615,615.0,Northern Africa,Africa,Liamine Zeroual.Algeria.1994.1998.Military Dict,Non-democracy,Military Dict,1994,1998,5,1
Abdelaziz Bouteflika,Algeria,615,615.0,Northern Africa,Africa,Abdelaziz Bouteflika.Algeria.1999.2008.Civilian Dict,Non-democracy,Civilian Dict,1999,2008,10,0
Oscar Ribas Reig,Andorra,232,232.0,Southern Europe,Europe,Oscar Ribas Reig.Andorra.1993.1993.Parliamentary Dem,Democracy,Parliamentary Dem,1993,1993,1,1
Marc Forne Molne,Andorra,232,232.0,Southern Europe,Europe,Marc Forne Molne.Andorra.1994.2004.Parliamentary Dem,Democracy,Parliamentary Dem,1994,2004,11,1
Albert Pintat Santolaria,Andorra,232,232.0,Southern Europe,Europe,Albert Pintat Santolaria.Andorra.2005.2008.Parliamentary Dem,Democracy,Parliamentary Dem,2005,2008,4,0
Agostinho Neto,Angola,540,540.0,Middle Africa,Africa,Agostinho Neto.Angola.1975.1978.Civilian Dict,Non-democracy,Civilian Dict,1975,1978,4,0
Jose Eduardo dos Santos,Angola,540,540.0,Middle Africa,Africa,Jose Eduardo dos Santos.Angola.1979.2008.Civilian Dict,Non-democracy,Civilian Dict,1979,2008,30,0
Vere Cornwall Bird,Antigua & Barbuda,58,58.0,Caribbean,America,Vere Cornwall Bird.Antigua & Barbuda.1981.1993.Parliamentary Dem,Democracy,Parliamentary Dem,1981,1993,13,1
Lester Bird,Antigua & Barbuda,58,58.0,Caribbean,America,Lester Bird.Antigua & Barbuda.1994.2003.Parliamentary Dem,Democracy,Parliamentary Dem,1994,2003,10,1
Baldwin Spencer,Antigua & Barbuda,58,58.0,Caribbean,America,Baldwin Spencer.Antigua & Barbuda.2004.2008.Parliamentary Dem,Democracy,Parliamentary Dem,2004,2008,5,0
Juan Peron,Argentina,160,160.0,South America,America,Juan Peron.Argentina.1946.1954.Presidential Dem,Democracy,Presidential Dem,1946,1954,9,1
Pedro Eugenio Aramburu Cilveti,Argentina,160,160.0,South America,America,Pedro Eugenio Aramburu Cilveti.Argentina.1955.1957.Military Dict,Non-democracy,Military Dict,1955,1957,3,1
Arturo Frondizi,Argentina,160,160.0,South America,America,Arturo Frondizi.Argentina.1958.1961.Presidential Dem,Democracy,Presidential Dem,1958,1961,4,1
Military,Argentina,160,160.0,South America,America,Military.Argentina.1962.1962.Military Dict,Non-democracy,Military Dict,1962,1962,1,1
Arturo Umberto Illia,Argentina,160,160.0,South America,America,Arturo Umberto Illia.Argentina.1963.1965.Presidential Dem,Democracy,Presidential Dem,1963,1965,3,1
Juan Carlos Ongania,Argentina,160,160.0,South America,America,Juan Carlos Ongania.Argentina.1966.1969.Military Dict,Non-democracy,Military Dict,1966,1969,4,1
Roberto Marcelo Levingston,Argentina,160,160.0,South America,America,Roberto Marcelo Levingston.Argentina.1970.1970.Military Dict,Non-democracy,Military Dict,1970,1970,1,1
Alejandro Agustan Lanusse,Argentina,160,160.0,South America,America,Alejandro Agustan Lanusse.Argentina.1971.1972.Military Dict,Non-democracy,Military Dict,1971,1972,2,1
Juan Peron,Argentina,160,160.0,South America,America,Juan Peron.Argentina.1973.1973.Presidential Dem,Democracy,Presidential Dem,1973,1973,1,0
Isabel Peron,Argentina,160,160.0,South America,America,Isabel Peron.Argentina.1974.1975.Presidential Dem,Democracy,Presidential Dem,1974,1975,2,1
Jorge Rafael Videla,Argentina,160,160.0,South America,America,Jorge Rafael Videla.Argentina.1976.1980.Military Dict,Non-democracy,Military Dict,1976,1980,5,1
Leopoldo Galtieri,Argentina,160,160.0,South America,America,Leopoldo Galtieri.Argentina.1981.1981.Military Dict,Non-democracy,Military Dict,1981,1981,1,1
Reynaldo Bignone,Argentina,160,160.0,South America,America,Reynaldo Bignone.Argentina.1982.1982.Military Dict,Non-democracy,Military Dict,1982,1982,1,1
Raul Alfonsin,Argentina,160,160.0,South America,America,Raul Alfonsin.Argentina.1983.1988.Presidential Dem,Democracy,Presidential Dem,1983,1988,6,1
Carlos Menem,Argentina,160,160.0,South America,America,Carlos Menem.Argentina.1989.1998.Presidential Dem,Democracy,Presidential Dem,1989,1998,10,1
Fernando de la Rua,Argentina,160,160.0,South America,America,Fernando de la Rua.Argentina.1999.2000.Presidential Dem,Democracy,Presidential Dem,1999,2000,2,1
Eduardo Oscar Camano,Argentina,160,160.0,South America,America,Eduardo Oscar Camano.Argentina.2001.2001.Presidential Dem,Democracy,Presidential Dem,2001,2001,1,1
Eduardo Alberto Duhalde Maldonado,Argentina,160,160.0,South America,America,Eduardo Alberto Duhalde Maldonado.Argentina.2002.2004.Presidential Dem,Democracy,Presidential Dem,2002,2004,3,1
Nestor Carlos Kirchner Ostoic,Argentina,160,160.0,South America,America,Nestor Carlos Kirchner Ostoic.Argentina.2005.2006.Presidential Dem,Democracy,Presidential Dem,2005,2006,2,1
Cristina Fernandez de Kirchner,Argentina,160,160.0,South America,America,Cristina Fernandez de Kirchner.Argentina.2007.2008.Presidential Dem,Democracy,Presidential Dem,2007,2008,2,0
Levon Ter-Petrosyan,Armenia,371,371.0,Western Asia,Asia,Levon Ter-Petrosyan.Armenia.1991.1994.Mixed Dem,Democracy,Mixed Dem,1991,1994,4,1
Hrant Bagratyan,Armenia,371,371.0,Western Asia,Asia,Hrant Bagratyan.Armenia.1995.1995.Mixed Dem,Democracy,Mixed Dem,1995,1995,1,1
Armen Sarkisyan,Armenia,371,371.0,Western Asia,Asia,Armen Sarkisyan.Armenia.1996.1996.Mixed Dem,Democracy,Mixed Dem,1996,1996,1,1
Robert Kocharyan,Armenia,371,371.0,Western Asia,Asia,Robert Kocharyan.Armenia.1997.1997.Mixed Dem,Democracy,Mixed Dem,1997,1997,1,1
Armen Darbinyan,Armenia,371,371.0,Western Asia,Asia,Armen Darbinyan.Armenia.1998.1998.Mixed Dem,Democracy,Mixed Dem,1998,1998,1,1
Aram Sargsyan,Armenia,371,371.0,Western Asia,Asia,Aram Sargsyan.Armenia.1999.1999.Mixed Dem,Democracy,Mixed Dem,1999,1999,1,1
Andranik Margaryan,Armenia,371,371.0,Western Asia,Asia,Andranik Margaryan.Armenia.2000.2006.Mixed Dem,Democracy,Mixed Dem,2000,2006,7,0
Serzh Sargsyan,Armenia,371,371.0,Western Asia,Asia,Serzh Sargsyan.Armenia.2007.2007.Mixed Dem,Democracy,Mixed Dem,2007,2007,1,1
Tigran Sargsyan,Armenia,371,371.0,Western Asia,Asia,Tigran Sargsyan.Armenia.2008.2008.Mixed Dem,Democracy,Mixed Dem,2008,2008,1,0
Joseph Chifley,Australia,900,900.0,Australia and New Zealand,Oceania,Joseph Chifley.Australia.1946.1948.Parliamentary Dem,Democracy,Parliamentary Dem,1946,1948,3,1
Robert Menzies,Australia,900,900.0,Australia and New Zealand,Oceania,Robert Menzies.Australia.1949.1965.Parliamentary Dem,Democracy,Parliamentary Dem,1949,1965,17,1
Harold Holt,Australia,900,900.0,Australia and New Zealand,Oceania,Harold Holt.Australia.1966.1966.Parliamentary Dem,Democracy,Parliamentary Dem,1966,1966,1,0
John McEwan,Australia,900,900.0,Australia and New Zealand,Oceania,John McEwan.Australia.1967.1967.Parliamentary Dem,Democracy,Parliamentary Dem,1967,1967,1,1
John Gorton,Australia,900,900.0,Australia and New Zealand,Oceania,John Gorton.Australia.1968.1970.Parliamentary Dem,Democracy,Parliamentary Dem,1968,1970,3,1
William McMahon,Australia,900,900.0,Australia and New Zealand,Oceania,William McMahon.Australia.1971.1971.Parliamentary Dem,Democracy,Parliamentary Dem,1971,1971,1,1
E. Gough Whitlam,Australia,900,900.0,Australia and New Zealand,Oceania,E. Gough Whitlam.Australia.1972.1974.Parliamentary Dem,Democracy,Parliamentary Dem,1972,1974,3,1
Malcom Fraser,Australia,900,900.0,Australia and New Zealand,Oceania,Malcom Fraser.Australia.1975.1982.Parliamentary Dem,Democracy,Parliamentary Dem,1975,1982,8,1
Robert Hawke,Australia,900,900.0,Australia and New Zealand,Oceania,Robert Hawke.Australia.1983.1990.Parliamentary Dem,Democracy,Parliamentary Dem,1983,1990,8,1
Paul Keating,Australia,900,900.0,Australia and New Zealand,Oceania,Paul Keating.Australia.1991.1995.Parliamentary Dem,Democracy,Parliamentary Dem,1991,1995,5,1
John Howard,Australia,900,900.0,Australia and New Zealand,Oceania,John Howard.Australia.1996.2006.Parliamentary Dem,Democracy,Parliamentary Dem,1996,2006,11,1
Kevin Michael Rudd,Australia,900,900.0,Australia and New Zealand,Oceania,Kevin Michael Rudd.Australia.2007.2008.Parliamentary Dem,Democracy,Parliamentary Dem,2007,2008,2,0
Leopold Figl,Austria,305,305.0,Western Europe,Europe,Leopold Figl.Austria.1946.1952.Mixed Dem,Democracy,Mixed Dem,1946,1952,7,1
Julius Raab,Austria,305,305.0,Western Europe,Europe,Julius Raab.Austria.1953.1960.Mixed Dem,Democracy,Mixed Dem,1953,1960,8,1
Alfons Gorbach,Austria,305,305.0,Western Europe,Europe,Alfons Gorbach.Austria.1961.1963.Mixed Dem,Democracy,Mixed Dem,1961,1963,3,1
Josef Klaus,Austria,305,305.0,Western Europe,Europe,Josef Klaus.Austria.1964.1969.Mixed Dem,Democracy,Mixed Dem,1964,1969,6,1
Bruno Kreisky,Austria,305,305.0,Western Europe,Europe,Bruno Kreisky.Austria.1970.1982.Mixed Dem,Democracy,Mixed Dem,1970,1982,13,1
Alfred Sinowatz,Austria,305,305.0,Western Europe,Europe,Alfred Sinowatz.Austria.1983.1985.Mixed Dem,Democracy,Mixed Dem,1983,1985,3,1
Franz Vranitzky,Austria,305,305.0,Western Europe,Europe,Franz Vranitzky.Austria.1986.1996.Mixed Dem,Democracy,Mixed Dem,1986,1996,11,1
Viktor Klima,Austria,305,305.0,Western Europe,Europe,Viktor Klima.Austria.1997.1999.Mixed Dem,Democracy,Mixed Dem,1997,1999,3,1
Wolfgang Schussel,Austria,305,305.0,Western Europe,Europe,Wolfgang Schussel.Austria.2000.2006.Mixed Dem,Democracy,Mixed Dem,2000,2006,7,1
Alfred Gusenbauer,Austria,305,305.0,Western Europe,Europe,Alfred Gusenbauer.Austria.2007.2008.Mixed Dem,Democracy,Mixed Dem,2007,2008,2,0
Ayaz Mutalibov,Azerbaijan,373,373.0,Western Asia,Asia,Ayaz Mutalibov.Azerbaijan.1991.1991.Civilian Dict,Non-democracy,Civilian Dict,1991,1991,1,1
Abulfez Elchibey,Azerbaijan,373,373.0,Western Asia,Asia,Abulfez Elchibey.Azerbaijan.1992.1992.Civilian Dict,Non-democracy,Civilian Dict,1992,1992,1,1
Heydar Aliyev,Azerbaijan,373,373.0,Western Asia,Asia,Heydar Aliyev.Azerbaijan.1993.2002.Civilian Dict,Non-democracy,Civilian Dict,1993,2002,10,0
Ilham Heydar oglu Aliyev,Azerbaijan,373,373.0,Western Asia,Asia,Ilham Heydar oglu Aliyev.Azerbaijan.2003.2008.Civilian Dict,Non-democracy,Civilian Dict,2003,2008,6,0
Lynden Pindling,Bahamas,31,31.0,Caribbean,America,Lynden Pindling.Bahamas.1973.1991.Parliamentary Dem,Democracy,Parliamentary Dem,1973,1991,19,1
Hubert Ingraham,Bahamas,31,31.0,Caribbean,America,Hubert Ingraham.Bahamas.1992.2001.Parliamentary Dem,Democracy,Parliamentary Dem,1992,2001,10,1
Perry Gladstone Christie,Bahamas,31,31.0,Caribbean,America,Perry Gladstone Christie.Bahamas.2002.2006.Parliamentary Dem,Democracy,Parliamentary Dem,2002,2006,5,1
Hubert Alexander Ingraham,Bahamas,31,31.0,Caribbean,America,Hubert Alexander Ingraham.Bahamas.2007.2008.Parliamentary Dem,Democracy,Parliamentary Dem,2007,2008,2,0
Sheikh 'Isa ibn Sulman Al Khalifah,Bahrain,692,692.0,Western Asia,Asia,Sheikh 'Isa ibn Sulman Al Khalifah.Bahrain.1971.1998.Monarchy,Non-democracy,Monarchy,1971,1998,28,0
Sheikh Hamad ibn 'Isa Al Khalifah,Bahrain,692,692.0,Western Asia,Asia,Sheikh Hamad ibn 'Isa Al Khalifah.Bahrain.1999.2008.Monarchy,Non-democracy,Monarchy,1999,2008,10,0
Tajuddin Ahmed,Bangladesh,771,771.0,Southern Asia,Asia,Tajuddin Ahmed.Bangladesh.1971.1971.Civilian Dict,Non-democracy,Civilian Dict,1971,1971,1,1
Mujibur Rahman,Bangladesh,771,771.0,Southern Asia,Asia,Mujibur Rahman.Bangladesh.1972.1974.Civilian Dict,Non-democracy,Civilian Dict,1972,1974,3,0
Abu Sadat Mohammad Sayem,Bangladesh,771,771.0,Southern Asia,Asia,Abu Sadat Mohammad Sayem.Bangladesh.1975.1976.Civilian Dict,Non-democracy,Civilian Dict,1975,1976,2,1
Zia ur-Rahman,Bangladesh,771,771.0,Southern Asia,Asia,Zia ur-Rahman.Bangladesh.1977.1980.Military Dict,Non-democracy,Military Dict,1977,1980,4,0
Abdus Sattar,Bangladesh,771,771.0,Southern Asia,Asia,Abdus Sattar.Bangladesh.1981.1981.Civilian Dict,Non-democracy,Civilian Dict,1981,1981,1,1
Hossain Mohammad Ershad,Bangladesh,771,771.0,Southern Asia,Asia,Hossain Mohammad Ershad.Bangladesh.1982.1985.Military Dict,Non-democracy,Military Dict,1982,1985,4,1
Hossain Mohammad Ershad,Bangladesh,771,771.0,Southern Asia,Asia,Hossain Mohammad Ershad.Bangladesh.1986.1989.Mixed Dem,Democracy,Mixed Dem,1986,1989,4,1
Shahabuddin Ahmed,Bangladesh,771,771.0,Southern Asia,Asia,Shahabuddin Ahmed.Bangladesh.1990.1990.Mixed Dem,Democracy,Mixed Dem,1990,1990,1,1
Khaleda Zia,Bangladesh,771,771.0,Southern Asia,Asia,Khaleda Zia.Bangladesh.1991.1995.Parliamentary Dem,Democracy,Parliamentary Dem,1991,1995,5,1
Sheikh Hasina Wajed,Bangladesh,771,771.0,Southern Asia,Asia,Sheikh Hasina Wajed.Bangladesh.1996.2000.Parliamentary Dem,Democracy,Parliamentary Dem,1996,2000,5,1
Khaleda Zia,Bangladesh,771,771.0,Southern Asia,Asia,Khaleda Zia.Bangladesh.2001.2006.Parliamentary Dem,Democracy,Parliamentary Dem,2001,2006,6,1
military,Bangladesh,771,771.0,Southern Asia,Asia,military.Bangladesh.2007.2007.Military Dict,Non-democracy,Military Dict,2007,2007,1,1
military,Bangladesh,771,771.0,Southern Asia,Asia,military.Bangladesh.2008.2008.Civilian Dict,Non-democracy,Civilian Dict,2008,2008,1,0
Errol Barrow,Barbados,53,53.0,Caribbean,America,Errol Barrow.Barbados.1966.1975.Parliamentary Dem,Democracy,Parliamentary Dem,1966,1975,10,1
John Adams,Barbados,53,53.0,Caribbean,America,John Adams.Barbados.1976.1984.Parliamentary Dem,Democracy,Parliamentary Dem,1976,1984,9,0
Bernard St. John,Barbados,53,53.0,Caribbean,America,Bernard St. John.Barbados.1985.1985.Parliamentary Dem,Democracy,Parliamentary Dem,1985,1985,1,1
Errol Barrow,Barbados,53,53.0,Caribbean,America,Errol Barrow.Barbados.1986.1986.Parliamentary Dem,Democracy,Parliamentary Dem,1986,1986,1,0
Erskine Sandiford,Barbados,53,53.0,Caribbean,America,Erskine Sandiford.Barbados.1987.1993.Parliamentary Dem,Democracy,Parliamentary Dem,1987,1993,7,1
Owen Arthur,Barbados,53,53.0,Caribbean,America,Owen Arthur.Barbados.1994.2007.Parliamentary Dem,Democracy,Parliamentary Dem,1994,2007,14,1
David Thompson,Barbados,53,53.0,Caribbean,America,David Thompson.Barbados.2008.2008.Parliamentary Dem,Democracy,Parliamentary Dem,2008,2008,1,0
Stanislau Shushkevich,Belarus,370,370.0,Eastern Europe,Europe,Stanislau Shushkevich.Belarus.1991.1993.Civilian Dict,Non-democracy,Civilian Dict,1991,1993,3,1
Alyaksandr Lukashenka,Belarus,370,370.0,Eastern Europe,Europe,Alyaksandr Lukashenka.Belarus.1994.2008.Civilian Dict,Non-democracy,Civilian Dict,1994,2008,15,0
Camille Huysmans,Belgium,211,211.0,Western Europe,Europe,Camille Huysmans.Belgium.1946.1946.Parliamentary Dem,Democracy,Parliamentary Dem,1946,1946,1,1
Paul-Henri Spaak,Belgium,211,211.0,Western Europe,Europe,Paul-Henri Spaak.Belgium.1947.1948.Parliamentary Dem,Democracy,Parliamentary Dem,1947,1948,2,1
Gaston Eyskens,Belgium,211,211.0,Western Europe,Europe,Gaston Eyskens.Belgium.1949.1949.Parliamentary Dem,Democracy,Parliamentary Dem,1949,1949,1,1
Joseph Pholien,Belgium,211,211.0,Western Europe,Europe,Joseph Pholien.Belgium.1950.1951.Parliamentary Dem,Democracy,Parliamentary Dem,1950,1951,2,1
Jean van Houtte,Belgium,211,211.0,Western Europe,Europe,Jean van Houtte.Belgium.1952.1953.Parliamentary Dem,Democracy,Parliamentary Dem,1952,1953,2,1
Achille van Acker,Belgium,211,211.0,Western Europe,Europe,Achille van Acker.Belgium.1954.1957.Parliamentary Dem,Democracy,Parliamentary Dem,1954,1957,4,1
Gaston Eyskens,Belgium,211,211.0,Western Europe,Europe,Gaston Eyskens.Belgium.1958.1960.Parliamentary Dem,Democracy,Parliamentary Dem,1958,1960,3,1
Theodore Lefevre,Belgium,211,211.0,Western Europe,Europe,Theodore Lefevre.Belgium.1961.1964.Parliamentary Dem,Democracy,Parliamentary Dem,1961,1964,4,1
Pierre Harmel,Belgium,211,211.0,Western Europe,Europe,Pierre Harmel.Belgium.1965.1965.Parliamentary Dem,Democracy,Parliamentary Dem,1965,1965,1,1
Paul van den Boeynants,Belgium,211,211.0,Western Europe,Europe,Paul van den Boeynants.Belgium.1966.1967.Parliamentary Dem,Democracy,Parliamentary Dem,1966,1967,2,1
Gaston Eyskens,Belgium,211,211.0,Western Europe,Europe,Gaston Eyskens.Belgium.1968.1972.Parliamentary Dem,Democracy,Parliamentary Dem,1968,1972,5,1
Edmond Leburton,Belgium,211,211.0,Western Europe,Europe,Edmond Leburton.Belgium.1973.1973.Parliamentary Dem,Democracy,Parliamentary Dem,1973,1973,1,1
Leo Tindemans,Belgium,211,211.0,Western Europe,Europe,Leo Tindemans.Belgium.1974.1977.Parliamentary Dem,Democracy,Parliamentary Dem,1974,1977,4,1
Paul van den Boeynants,Belgium,211,211.0,Western Europe,Europe,Paul van den Boeynants.Belgium.1978.1978.Parliamentary Dem,Democracy,Parliamentary Dem,1978,1978,1,1
Wilfried Martens,Belgium,211,211.0,Western Europe,Europe,Wilfried Martens.Belgium.1979.1991.Parliamentary Dem,Democracy,Parliamentary Dem,1979,1991,13,1
Jean-Luc Dehaene,Belgium,211,211.0,Western Europe,Europe,Jean-Luc Dehaene.Belgium.1992.1998.Parliamentary Dem,Democracy,Parliamentary Dem,1992,1998,7,1
Guy Verhofstadt,Belgium,211,211.0,Western Europe,Europe,Guy Verhofstadt.Belgium.1999.2007.Parliamentary Dem,Democracy,Parliamentary Dem,1999,2007,9,1
Herman Van Rompuy,Belgium,211,211.0,Western Europe,Europe,Herman Van Rompuy.Belgium.2008.2008.Parliamentary Dem,Democracy,Parliamentary Dem,2008,2008,1,0
George Cadle Price,Belize,80,80.0,Central America,America,George Cadle Price.Belize.1981.1983.Parliamentary Dem,Democracy,Parliamentary Dem,1981,1983,3,1
Manuel Esquivel,Belize,80,80.0,Central America,America,Manuel Esquivel.Belize.1984.1988.Parliamentary Dem,Democracy,Parliamentary Dem,1984,1988,5,1
George Cadle Price,Belize,80,80.0,Central America,America,George Cadle Price.Belize.1989.1992.Parliamentary Dem,Democracy,Parliamentary Dem,1989,1992,4,1
Manuel Esquivel,Belize,80,80.0,Central America,America,Manuel Esquivel.Belize.1993.1997.Parliamentary Dem,Democracy,Parliamentary Dem,1993,1997,5,1
Said Musa,Belize,80,80.0,Central America,America,Said Musa.Belize.1998.2007.Parliamentary Dem,Democracy,Parliamentary Dem,1998,2007,10,1
Dean Oliver Barrow,Belize,80,80.0,Central America,America,Dean Oliver Barrow.Belize.2008.2008.Parliamentary Dem,Democracy,Parliamentary Dem,2008,2008,1,0
Hubert Maga,Benin,434,434.0,Western Africa,Africa,Hubert Maga.Benin.1960.1962.Civilian Dict,Non-democracy,Civilian Dict,1960,1962,3,1
Christophe Soglo,Benin,434,434.0,Western Africa,Africa,Christophe Soglo.Benin.1963.1966.Military Dict,Non-democracy,Military Dict,1963,1966,4,1
Alphonse Alley,Benin,434,434.0,Western Africa,Africa,Alphonse Alley.Benin.1967.1967.Military Dict,Non-democracy,Military Dict,1967,1967,1,1
military,Benin,434,434.0,Western Africa,Africa,military.Benin.1968.1969.Military Dict,Non-democracy,Military Dict,1968,1969,2,1
Hubert Maga,Benin,434,434.0,Western Africa,Africa,Hubert Maga.Benin.1970.1971.Civilian Dict,Non-democracy,Civilian Dict,1970,1971,2,1
Mathieu Kerekou,Benin,434,434.0,Western Africa,Africa,Mathieu Kerekou.Benin.1972.1990.Military Dict,Non-democracy,Military Dict,1972,1990,19,1
Nicephore Soglo,Benin,434,434.0,Western Africa,Africa,Nicephore Soglo.Benin.1991.1995.Presidential Dem,Democracy,Presidential Dem,1991,1995,5,1
Mathieu Kerekou,Benin,434,434.0,Western Africa,Africa,Mathieu Kerekou.Benin.1996.2005.Presidential Dem,Democracy,Presidential Dem,1996,2005,10,1
Yayi Boni,Benin,434,434.0,Western Africa,Africa,Yayi Boni.Benin.2006.2008.Presidential Dem,Democracy,Presidential Dem,2006,2008,3,0
Jigme Wangchuk,Bhutan,760,760.0,Southern Asia,Asia,Jigme Wangchuk.Bhutan.1946.1951.Monarchy,Non-democracy,Monarchy,1946,1951,6,0
Jigme Dorji Wangchuk,Bhutan,760,760.0,Southern Asia,Asia,Jigme Dorji Wangchuk.Bhutan.1952.1971.Monarchy,Non-democracy,Monarchy,1952,1971,20,0
Jigme Singye Wangchuk,Bhutan,760,760.0,Southern Asia,Asia,Jigme Singye Wangchuk.Bhutan.1972.2006.Monarchy,Non-democracy,Monarchy,1972,2006,35,1
Kinzang Dorji,Bhutan,760,760.0,Southern Asia,Asia,Kinzang Dorji.Bhutan.2007.2007.Parliamentary Dem,Democracy,Parliamentary Dem,2007,2007,1,1
Jigme Thinley,Bhutan,760,760.0,Southern Asia,Asia,Jigme Thinley.Bhutan.2008.2008.Parliamentary Dem,Democracy,Parliamentary Dem,2008,2008,1,0
Military,Bolivia,145,145.0,South America,America,Military.Bolivia.1946.1946.Military Dict,Non-democracy,Military Dict,1946,1946,1,1
Enrique Hertzog,Bolivia,145,145.0,South America,America,Enrique Hertzog.Bolivia.1947.1948.Civilian Dict,Non-democracy,Civilian Dict,1947,1948,2,1
Mamerto Urriolagoitia,Bolivia,145,145.0,South America,America,Mamerto Urriolagoitia.Bolivia.1949.1950.Civilian Dict,Non-democracy,Civilian Dict,1949,1950,2,1
Hugo Ballivion Rojas,Bolivia,145,145.0,South America,America,Hugo Ballivion Rojas.Bolivia.1951.1951.Military Dict,Non-democracy,Military Dict,1951,1951,1,1
Victor Paz Estenssoro,Bolivia,145,145.0,South America,America,Victor Paz Estenssoro.Bolivia.1952.1955.Civilian Dict,Non-democracy,Civilian Dict,1952,1955,4,1
Hernan Siles Zuazo,Bolivia,145,145.0,South America,America,Hernan Siles Zuazo.Bolivia.1956.1959.Civilian Dict,Non-democracy,Civilian Dict,1956,1959,4,1
Victor Paz Estenssoro,Bolivia,145,145.0,South America,America,Victor Paz Estenssoro.Bolivia.1960.1963.Civilian Dict,Non-democracy,Civilian Dict,1960,1963,4,1
